tauf,time,v,ci,cs,d,f,q
35,291.0,-95.60516707999125,0.6937631158504227,0.7141351644376887,1.2213540963023632e-6,0.924244962250851,0.5400014005641655
35,291.1,-95.60541409438994,0.6934231541832884,0.7137877144242456,1.8947626763895125e-6,0.9244838219112798,0.5396291198434143
35,291.2,-95.60565932209634,0.6930834775042537,0.713440572367519,2.195649443353556e-6,0.9247757150024088,0.5399174513615506
35,291.3,-95.60590524042581,0.692744085540687,0.7130937263121137,1.5633326246903536e-6,0.9249564075705362,0.5400488671808399
35,291.40000000000003,-95.60615178909104,0.6924049780040712,0.7127471735771841,8.93765030467231e-7,0.9252362271195304,0.5397654327395256
35,291.5,-95.60639897705673,0.692066154607085,0.71240091220321,1.422115564952282e-6,0.9253352838861836,0.5397656649080851
35,291.6,-95.60664445019192,0.6917276150656728,0.7120549549852027,2.219685591045694e-6,0.9254631424526951,0.5399262389700813
35,291.7,-95.60688778603703,0.6913893591079526,0.7117093069859844,2.1184939299126763e-6,0.9256410455379196,0.5398843400435507
35,291.8,-95.60713070110863,0.691051386463868,0.7113639606239015,3.299350588202657e-6,0.9258706016155235,0.5398522776824815
35,291.90000000000003,-95.6073727273089,0.6907136968632581,0.7110189200514934,1.4837963790153008e-6,0.9259650032775064,0.5404836050125685
35,292.0,-95.60761835683672,0.6903762900248216,0.7106741574040379,9.224676694998901e-7,0.926217017333926,0.5404884060718147
35,292.1,-95.60786566684678,0.6900391656516423,0.7103296777385427,2.901643027622421e-7,0.9265389848663657,0.5405625332915213
35,292.2,-95.60811339159163,0.6897023234488024,0.7099854843475513,1.0091879749571859e-7,0.9266373064636072,0.5408948780547544
35,292.3,-95.60836123882216,0.6893657631282167,0.7096415778855363,0.0,0.9269187375757422,0.5411196198076299
35,292.40000000000003,-95.6086090789251,0.6890294844019292,0.7092979582128366,0.0,0.92698663816317,0.5409199400810787
35,292.5,-95.60885665300715,0.6886934869825846,0.708954626165507,1.3356558049874507e-7,0.9271364304861406,0.5407944585828608
35,292.6,-95.60910362159737,0.6883577705846285,0.7086115835373753,4.3277281957337723e-7,0.9274743012444786,0.5410846969480367
35,292.7,-95.60934985791249,0.6880223349253842,0.7082688315762947,2.2956511489273638e-7,0.9276112747930462,0.5411342822265413
35,292.8,-95.60959571134754,0.6876871797216569,0.7079263683245213,2.9465313534350473e-7,0.9278154253682622,0.541194790102792
35,292.90000000000003,-95.60984191664666,0.6873523046915444,0.7075841899080865,1.5968553261917692e-7,0.928029544664523,0.5410259794181435
35,293.0,-95.61008772539583,0.6870177095474107,0.7072422989353069,2.55985567188271e-7,0.9281394200653786,0.5407267916645448
35,293.1,-95.6103334776065,0.6866833940071038,0.7069006937354025,0.0,0.9283321534914512,0.5409797020175483
