tauf,beat,apd,camax
52,86,212.6032655104973,1.940297457309084
52,87,261.45148238878755,3.479731795720881
52,88,210.78159772456274,1.9167989986832574
52,89,262.85335132384716,3.5867942258008774
52,90,210.41806091550825,1.900051400735578
52,91,263.32831735478976,3.6148979679312303
52,92,210.8168485615206,1.9109008600302526
52,93,261.97174180997536,3.533050476866203
52,94,210.8165336495549,1.9063956580214418
52,95,262.72696247877684,3.564170444326521
52,96,211.8340077454086,1.9251666908591913
52,97,261.7297876574412,3.527916867886144
52,98,211.78608016582075,1.9208151344232314
52,99,261.5826004801529,3.5106674263873807
52,100,213.74813245868427,1.9461121396107417
52,101,261.17605588639344,3.4332769647340724
52,102,212.28033766493536,1.9263658190797874
52,103,263.38396006280163,3.5860057766642686
52,104,208.64672491578312,1.8726812237942985
52,105,262.27028503148904,3.55124830697679
52,106,211.70823047553495,1.9235466010019722
52,107,261.8957763575927,3.502814868872869
52,108,212.39035858704665,1.9305714900278448
52,109,261.35521310391414,3.490023714497711
52,110,214.6804418643951,1.9674251708315367
52,111,260.72091499183443,3.448725629643136
52,112,216.12678324178705,1.9863426504857837
52,113,259.43617993163207,3.3649912150680454
52,114,215.8589332048141,1.9887964920126222
52,115,260.10754244158306,3.3994765592341785
52,116,216.30951980949612,1.9829662773658119
52,117,258.6656411125805,3.372395058466659
52,118,218.41295560548315,2.015292350842526
52,119,258.09274987217213,3.318067908022425
52,120,218.62225754751853,2.0319061989870484
52,121,259.2246552525976,3.318263946130378
52,122,216.73384860128863,1.995758211445181
52,123,258.4843921076026,3.318718579471513
52,124,218.79159356833406,2.0353537407727678
52,125,259.0641424544592,3.292072480352117
52,126,218.70571714700782,2.028652925353834
52,127,258.4904044515424,3.3569103272350196
52,128,217.60391566010367,2.0098847898492607
52,129,258.2475625334919,3.3325090252756406
52,130,220.2428785555021,2.060270707327386
52,131,258.5678281368746,3.31742989303117
52,132,218.31167876296968,2.033241272900846
52,133,259.1082941552668,3.3499115020456665
52,134,220.06300843016652,2.063000927393406
52,135,256.7270755369973,3.2325871383923213
