tauf,apd_mean,apd_std,apd_min,apd_max,apd_std_altbeat,ca_mean,ca_std,ca_min,ca_max
42,231.12954384248224,0.9331528291414004,228.38458795160113,233.94313538806455,0.9323305126000987,2.4241620619285555,0.029385651416068553,2.3319661482430614,2.521262990746141
43,232.4869158738992,0.9860466118034752,229.673552987991,235.48925188278372,0.9849323764234611,2.4662621370519444,0.03163448373487133,2.364767046972039,2.571658143437934
44,233.76633566593628,1.0501686065265525,230.62933355517202,236.985541732618,1.0486457131794205,2.505087333227379,0.034249689583818105,2.392855501109584,2.6197972810592627
45,234.97289449429752,1.1298533938863455,231.45489238873347,238.44139993117278,1.1277381565584834,2.5407650678915865,0.03738129516488341,2.4161084134736206,2.666236222211444
46,236.11123663000302,1.2319937154244436,232.14381955267066,239.8615989996033,1.2289808363272265,2.573430612872589,0.04126819231619795,2.434388348067978,2.7118318428124564
47,237.18550068910196,1.3684121949629846,232.6881967835642,241.26415246338752,1.3639406140391612,2.603224059710412,0.04631978215799828,2.4475625895001536,2.7579933532565586
48,238.20211864482326,1.5324932299767364,233.31503076813533,242.39732646565244,1.4900262000901776,2.6314175109361044,0.05145859765131098,2.4867180311247727,2.8071930354079733
49,239.1566156580966,1.8219009202653529,233.33393137583334,244.15611975247884,1.7516520902811248,2.6558334009902507,0.06164997313777285,2.481971044976131,2.8641476897574067
50,240.05055938112017,2.3301240877391045,233.07683067489415,246.3185712767954,2.1802449254076475,2.6777781621367645,0.07928467532448943,2.469089398830957,2.9378927881220838
51,240.84834534617647,3.648531051824573,230.79335059747245,249.59785192235722,2.9361865432078655,2.697068242360978,0.12455204170658686,2.3948182064024714,3.057384239912667
52,238.81906892584476,19.664221911158066,207.24941679849871,264.1548264000521,4.4395430873182615,2.711918814904385,0.6435771928796219,1.8726812237942985,3.7275727582436313
53,235.56137021444306,30.47183466710785,190.96855128614698,271.77075864015205,4.873763783095459,2.712993931349262,0.9377353434281803,1.617564635525456,4.022990441841414
54,232.37939124466152,38.69801952797667,185.5291120505717,274.3217742770503,2.9116277828076162,2.7180843344436467,1.126331758359421,1.5191017724501135,4.099491295379801
55,229.84514515314217,44.86662254721616,177.01254089146096,277.40584924723953,2.1140204379554435,2.7267110289482224,1.250584469331799,1.4277865413501039,4.1941354366439745
56,227.80136519728384,49.836050948897494,170.80345252472034,279.98179869525484,1.7206489430084935,2.738200627473426,1.3432120549509505,1.3564816895370444,4.2808325968231635
57,226.1383169001252,54.01009533131893,165.84884268858877,282.29824112427013,1.4834199575110079,2.752495650845864,1.4177931979745841,1.3028834022314835,4.359452462648581
58,224.75803781318373,57.63738120819585,161.37449109916633,284.3966230299993,1.3365515985433363,2.7690165169177448,1.4809127713932881,1.2619144682735883,4.430832361924729
59,223.51168555130982,60.960569698142166,156.71783663060341,286.38963813721784,1.293498755505427,2.785953399783518,1.5355428439015404,1.2292412336172434,4.500928578018049
60,222.03561627435502,64.42316611640459,149.62659622025967,288.43698772801145,1.5478045248164127,2.7976776571138484,1.5805501870349479,1.2060348094601383,4.574746944330884
