u,beat,camax
10.5,10,3.2109679854849253
10.5,11,1.2080810281581262
10.5,12,3.205693692098504
10.5,13,1.2147426816426623
10.5,14,3.1760201304658904
10.5,15,1.2004603787669728
10.5,16,3.233730312011682
10.5,17,1.2138127975408963
10.5,18,3.108052921854981
10.5,19,1.2034671829472559
10.5,20,3.294614257925465
10.5,21,1.2130113229383268
10.5,22,3.299827905242906
10.5,23,1.2078508942102013
10.5,24,3.234123831252533
10.5,25,1.210979271103573
10.5,26,3.186642640417495
10.5,27,1.2011362269647012
10.5,28,3.259312086458465
10.5,29,1.2131524455181533
10.5,30,3.162939448122413
10.5,31,1.2035210827026814
10.5,32,3.188851382111586
10.5,33,1.213389465933978
10.5,34,3.099617964352433
10.5,35,1.2042876132075226
10.5,36,3.269945870304041
10.5,37,1.213004894671926
10.5,38,3.196450076272324
10.5,39,1.2079718788487204
10.5,40,3.225870456878396
10.5,41,1.2138134701853631
10.5,42,3.139765724692846
10.5,43,1.2023434611145638
10.5,44,3.2261624377910842
10.5,45,1.2110688674378272
10.5,46,3.2048368919178527
10.5,47,1.210995228235674
10.5,48,3.209550603129256
10.5,49,1.1999617546703876
10.5,50,3.280519942871771
10.5,51,1.2135591698523496
10.5,52,3.1706917768148344
10.5,53,1.2054885626660883
10.5,54,3.2630714638418716
10.5,55,1.2068423440411586
10.5,56,3.1586726671296756
10.5,57,1.1989303918645724
10.5,58,3.2324973317808383
10.5,59,1.207089484404373
10.5,60,3.2067119552164685
10.5,61,1.2012984797329622
10.5,62,3.215801847986572
10.5,63,1.204787643376208
10.5,64,3.2674390158142823
10.5,65,1.2094694663867527
10.5,66,3.1424176879018337
10.5,67,1.2006015508777903
10.5,68,3.182013628872443
10.5,69,1.2087825809722552
10.5,70,3.1807502791400357
10.5,71,1.2058379522177234
10.5,72,3.2290300317330196
10.5,73,1.2080739987065796
10.5,74,3.2244475049007937
10.5,75,1.2177434726659482
10.5,76,3.109859944245246
10.5,77,1.2028176684267846
10.5,78,3.2071136224569994
10.5,79,1.2095630101510166
10.5,80,3.2662725743852357
10.5,81,1.2120624040120835
10.5,82,3.2119760647715436
10.5,83,1.2088314160232998
10.5,84,3.1828235332408856
10.5,85,1.21368677223447
10.5,86,3.1809495840631428
10.5,87,1.2012441642823395
10.5,88,3.178775574300385
10.5,89,1.20790500576698
10.5,90,3.181836916976261
10.5,91,1.2109840894811046
10.5,92,3.221524317306898
10.5,93,1.2045340456578442
10.5,94,3.177695643526849
10.5,95,1.2068939436687616
10.5,96,3.256969130961354
10.5,97,1.2107579048933041
10.5,98,3.1971530936707273
10.5,99,1.2037357471873091
10.5,100,3.2284682936993367
10.5,101,1.2016865139939643
10.5,102,3.1887468881869205
10.5,103,1.219277153721794
10.5,104,3.109084939226395
10.5,105,1.1969196702088971
10.5,106,3.27116802166782
10.5,107,1.2087647384565923
10.5,108,3.1867478286218067
10.5,109,1.2060248208443662
10.5,110,3.2526718203085014
10.5,111,1.212339348230425
10.5,112,3.222649509600764
10.5,113,1.204558774496357
10.5,114,3.2137262102800186
10.5,115,1.207511273867001
10.5,116,3.224691701016783
10.5,117,1.2069786089525627
10.5,118,3.2178962028878235
10.5,119,1.2076409308683962
10.5,120,3.180967310385562
10.5,121,1.20455256962265
10.5,122,3.1532899450810445
10.5,123,1.1959857197624864
10.5,124,3.2772764809862007
10.5,125,1.2064735384869147
10.5,126,3.205046130573163
10.5,127,1.2142110484071198
10.5,128,3.16292639226997
10.5,129,1.2027591700273979
10.5,130,3.2676410462294374
10.5,131,1.2154691996410354
10.5,132,3.1564550903694957
10.5,133,1.2079050086204273
10.5,134,3.264701463320642
10.5,135,1.200469115903669
10.5,136,3.2685953662064193
10.5,137,1.210798813455068
10.5,138,3.260733308954034
10.5,139,1.217680831836888
10.5,140,3.156622594480418
10.5,141,1.2042286782238028
10.5,142,3.2234603226984913
10.5,143,1.2124784915701106
10.5,144,3.203767863557759
10.5,145,1.1999411521487515
10.5,146,3.226354549114951
10.5,147,1.198083678962185
10.5,148,3.2394365224504376
10.5,149,1.2092574548752764
10.5,150,3.1946791735333324
10.5,151,1.2025175001014672
10.5,152,3.2349735246595825
10.5,153,1.2007882374234136
10.5,154,3.282392891767478
10.5,155,1.2072316025274825
10.5,156,3.1666582443429956
10.5,157,1.2035779374688267
10.5,158,3.167950156846719
10.5,159,1.2071162603970678
10.5,160,3.163866682317101
10.5,161,1.2072300421927946
10.5,162,3.1955870770668025
10.5,163,1.211743868564918
10.5,164,3.207202227939618
